22-Sep-2026 22:48:36 | INFO    | KLayout version detected: 0.30.9 (required >= 0.30.5)
22-Sep-2026 22:48:36 | INFO    | Using DRC JSON file: /foss/pdks/ihp-sg13g2/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
22-Sep-2026 22:48:36 | INFO    | Running IHP-SG13G2 main checks on design ${RESULTS_ROOT}/sense-power-routing-20260922-r1/g1_sense_physical.gds, topcell: g1_sense_physical
2026-09-22 22:48:38 +0200: Memory Usage (408404K) : Starting running IHP-SG13G2 KLayout DRC runset on ${RESULTS_ROOT}/sense-power-routing-20260922-r1/g1_sense_physical.gds
2026-09-22 22:48:38 +0200: Memory Usage (408404K) : Ruby Version for klayout: 3.2.3
2026-09-22 22:48:38 +0200: Memory Usage (409716K) : Loading database to memory is complete.
2026-09-22 22:48:38 +0200: Memory Usage (409716K) : IHP-SG13G2 KLayout DRC runset output at: ${RESULTS_ROOT}/sense-power-stock-20260922-r1/drc/g1_sense_physical_g1_sense_physical_main.lyrdb
2026-09-22 22:48:38 +0200: Memory Usage (409716K) : Evaluate switches.
2026-09-22 22:48:38 +0200: Memory Usage (409716K) : tables selected: main
2026-09-22 22:48:38 +0200: Memory Usage (409716K) : KLayout will use 128 thread(s) in tiling mode.
2026-09-22 22:48:38 +0200: Memory Usage (409716K) : deep mode is enabled.
2026-09-22 22:48:38 +0200: Memory Usage (409716K) : FEOL enabled: true
2026-09-22 22:48:38 +0200: Memory Usage (409716K) : BEOL enabled: true
2026-09-22 22:48:38 +0200: Memory Usage (409716K) : OFFGRID enabled: true
2026-09-22 22:48:38 +0200: Memory Usage (409716K) : ANGLE enabled: true
2026-09-22 22:48:38 +0200: Memory Usage (409716K) : PIN enabled: true
2026-09-22 22:48:38 +0200: Memory Usage (409716K) : FORBIDDEN enabled: true
2026-09-22 22:48:38 +0200: Memory Usage (409716K) : RECOMMENDED enabled: true
2026-09-22 22:48:38 +0200: Memory Usage (409716K) : PreCheck DRC enabled: false
2026-09-22 22:48:38 +0200: Memory Usage (409716K) : CONNECTIVITY_RULES enabled: true.
2026-09-22 22:48:38 +0200: Memory Usage (409716K) : Read in polygons from layers.
2026-09-22 22:48:38 +0200: Memory Usage (411076K) : activ_drw has 1011 polygons
2026-09-22 22:48:38 +0200: Memory Usage (411076K) : activ_pin has 0 polygons
2026-09-22 22:48:38 +0200: Memory Usage (411076K) : activ_mask has 0 polygons
2026-09-22 22:48:38 +0200: Memory Usage (411820K) : activ_filler has 0 polygons
2026-09-22 22:48:38 +0200: Memory Usage (411820K) : activ_nofill has 4 polygons
2026-09-22 22:48:38 +0200: Memory Usage (411820K) : activ_opc has 0 polygons
2026-09-22 22:48:38 +0200: Memory Usage (411820K) : activ_iopc has 0 polygons
2026-09-22 22:48:38 +0200: Memory Usage (411820K) : activ_noqrc has 0 polygons
2026-09-22 22:48:38 +0200: Memory Usage (412084K) : biwind_drw has 0 polygons
2026-09-22 22:48:38 +0200: Memory Usage (412084K) : biwind_opc has 0 polygons
2026-09-22 22:48:38 +0200: Memory Usage (412084K) : pemwind_drw has 0 polygons
2026-09-22 22:48:38 +0200: Memory Usage (412084K) : gatpoly_drw has 1566 polygons
2026-09-22 22:48:38 +0200: Memory Usage (412084K) : gatpoly_pin has 50 polygons
2026-09-22 22:48:38 +0200: Memory Usage (412084K) : gatpoly_filler has 0 polygons
2026-09-22 22:48:38 +0200: Memory Usage (412084K) : gatpoly_nofill has 4 polygons
2026-09-22 22:48:38 +0200: Memory Usage (412136K) : gatpoly_opc has 0 polygons
2026-09-22 22:48:38 +0200: Memory Usage (412136K) : gatpoly_iopc has 0 polygons
2026-09-22 22:48:38 +0200: Memory Usage (412136K) : gatpoly_noqrc has 0 polygons
